roi_pos_id	roi_name	category
40	L_24dd_ROI	Interoception
53	L_3a_ROI	Interoception
78	L_6r_ROI	Interoception
106	L_PoI2_ROI	Interoception
110	L_Pir_ROI	Interoception
111	L_AVI_ROI	Interoception
113	L_FOP1_ROI	Interoception
118	L_EC_ROI	Interoception
120	L_H_ROI	Interoception
122	L_PeEc_ROI	Interoception
243	R_8BM_ROI	Interoception
285	R_PFcm_ROI	Interoception
288	R_FOP4_ROI	Interoception
300	R_H_ROI	Interoception
50	L_MIP_ROI	Exteroception
69	L_9m_ROI	Exteroception
109	L_MI_ROI	Exteroception
112	L_AAIC_ROI	Exteroception
117	L_AIP_ROI	Exteroception
138	L_PH_ROI	Exteroception
197	R_IPS1_ROI	Exteroception
200	R_LO1_ROI	Exteroception
227	R_7PC_ROI	Exteroception
228	R_LIPv_ROI	Exteroception
237	R_p24pr_ROI	Exteroception
258	R_6r_ROI	Exteroception
262	R_IFSa_ROI	Exteroception
289	R_MI_ROI	Exteroception
296	R_PFt_ROI	Exteroception
318	R_PH_ROI	Exteroception
32	L_23d_ROI	Cognition
34	L_d23ab_ROI	Cognition
61	L_a24_ROI	Cognition
68	L_8Ad_ROI	Cognition
85	L_a9-46v_ROI	Cognition
111	L_AVI_ROI	Cognition
132	L_TE1a_ROI	Cognition
150	L_PGi_ROI	Cognition
258	R_6r_ROI	Cognition
260	R_IFJp_ROI	Cognition
287	R_TA2_ROI	Cognition
330	R_PGi_ROI	Cognition
1	L_V1_ROI	Somatomotor
2	L_MST_ROI	Somatomotor
3	L_V6_ROI	Somatomotor
4	L_V2_ROI	Somatomotor
5	L_V3_ROI	Somatomotor
6	L_V4_ROI	Somatomotor
7	L_V8_ROI	Somatomotor
8	L_4_ROI	Somatomotor
9	L_3b_ROI	Somatomotor
13	L_V3A_ROI	Somatomotor
16	L_V7_ROI	Somatomotor
17	L_IPS1_ROI	Somatomotor
18	L_FFC_ROI	Somatomotor
19	L_V3B_ROI	Somatomotor
20	L_LO1_ROI	Somatomotor
21	L_LO2_ROI	Somatomotor
22	L_PIT_ROI	Somatomotor
23	L_MT_ROI	Somatomotor
24	L_A1_ROI	Somatomotor
36	L_5m_ROI	Somatomotor
39	L_5L_ROI	Somatomotor
41	L_24dv_ROI	Somatomotor
42	L_7AL_ROI	Somatomotor
47	L_7PC_ROI	Somatomotor
48	L_LIPv_ROI	Somatomotor
49	L_VIP_ROI	Somatomotor
51	L_1_ROI	Somatomotor
52	L_2_ROI	Somatomotor
54	L_6d_ROI	Somatomotor
55	L_6mp_ROI	Somatomotor
56	L_6v_ROI	Somatomotor
100	L_OP4_ROI	Somatomotor
101	L_OP1_ROI	Somatomotor
102	L_OP2-3_ROI	Somatomotor
103	L_52_ROI	Somatomotor
104	L_RI_ROI	Somatomotor
107	L_TA2_ROI	Somatomotor
115	L_FOP2_ROI	Somatomotor
121	L_ProS_ROI	Somatomotor
124	L_PBelt_ROI	Somatomotor
142	L_DVT_ROI	Somatomotor
152	L_V6A_ROI	Somatomotor
153	L_VMV1_ROI	Somatomotor
154	L_VMV3_ROI	Somatomotor
156	L_V4t_ROI	Somatomotor
157	L_FST_ROI	Somatomotor
158	L_V3CD_ROI	Somatomotor
159	L_LO3_ROI	Somatomotor
160	L_VMV2_ROI	Somatomotor
163	L_VVC_ROI	Somatomotor
168	L_Ig_ROI	Somatomotor
173	L_MBelt_ROI	Somatomotor
174	L_LBelt_ROI	Somatomotor
175	L_A4_ROI	Somatomotor
181	R_V1_ROI	Somatomotor
182	R_MST_ROI	Somatomotor
183	R_V6_ROI	Somatomotor
184	R_V2_ROI	Somatomotor
185	R_V3_ROI	Somatomotor
186	R_V4_ROI	Somatomotor
187	R_V8_ROI	Somatomotor
188	R_4_ROI	Somatomotor
189	R_3b_ROI	Somatomotor
193	R_V3A_ROI	Somatomotor
196	R_V7_ROI	Somatomotor
198	R_FFC_ROI	Somatomotor
199	R_V3B_ROI	Somatomotor
201	R_LO2_ROI	Somatomotor
202	R_PIT_ROI	Somatomotor
203	R_MT_ROI	Somatomotor
204	R_A1_ROI	Somatomotor
216	R_5m_ROI	Somatomotor
219	R_5L_ROI	Somatomotor
220	R_24dd_ROI	Somatomotor
221	R_24dv_ROI	Somatomotor
222	R_7AL_ROI	Somatomotor
229	R_VIP_ROI	Somatomotor
231	R_1_ROI	Somatomotor
232	R_2_ROI	Somatomotor
233	R_3a_ROI	Somatomotor
234	R_6d_ROI	Somatomotor
235	R_6mp_ROI	Somatomotor
236	R_6v_ROI	Somatomotor
280	R_OP4_ROI	Somatomotor
281	R_OP1_ROI	Somatomotor
282	R_OP2-3_ROI	Somatomotor
283	R_52_ROI	Somatomotor
284	R_RI_ROI	Somatomotor
295	R_FOP2_ROI	Somatomotor
301	R_ProS_ROI	Somatomotor
304	R_PBelt_ROI	Somatomotor
322	R_DVT_ROI	Somatomotor
332	R_V6A_ROI	Somatomotor
333	R_VMV1_ROI	Somatomotor
334	R_VMV3_ROI	Somatomotor
336	R_V4t_ROI	Somatomotor
337	R_FST_ROI	Somatomotor
338	R_V3CD_ROI	Somatomotor
339	R_LO3_ROI	Somatomotor
340	R_VMV2_ROI	Somatomotor
343	R_VVC_ROI	Somatomotor
348	R_Ig_ROI	Somatomotor
353	R_MBelt_ROI	Somatomotor
354	R_LBelt_ROI	Somatomotor
355	R_A4_ROI	Somatomotor
